                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2189,                 1.0561,                 1.0772,                0.66712,                0.55195,                0.59745,                0.33284,                 1.1994,                0.89447,                 1.1418,             0.00047428,             0.00047428,             0.00047428
                      2,                 1.2281,                0.85916,                 1.0973,                0.68948,                0.53515,                0.59152,                0.32741,                 1.2593,                0.85533,                 1.1591,              0.0009412,              0.0009412,              0.0009412
                      3,                 1.2139,                0.84175,                 1.0933,                0.69475,                0.52641,                 0.5756,                 0.3193,                 1.1934,                0.81975,                 1.1362,              0.0013987,              0.0013987,              0.0013987
                      4,                 1.1663,                0.79546,                 1.0704,                0.67186,                0.51708,                0.56401,                0.30579,                 1.2134,                0.91399,                 1.1605,              0.0013866,              0.0013866,              0.0013866
