                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6202,                  2.353,                 1.2439,                0.53033,                0.22496,                0.21262,                0.12572,                 1.4246,                 1.3439,                 1.1206,              0.0033261,              0.0033261,              0.0033261
                      2,                 1.4381,                 1.4986,                 1.1538,                0.44433,                 0.2939,                0.28196,                0.16875,                 1.3439,                 1.2304,                 1.0919,              0.0065936,              0.0065936,              0.0065936
                      3,                 1.4358,                 1.3773,                 1.1533,                0.48224,                0.30786,                0.29959,                0.17484,                 1.3762,                 1.2256,                 1.1064,               0.009795,               0.009795,               0.009795
                      4,                 1.4045,                 1.2744,                 1.1432,                0.44887,                0.33226,                0.32795,                0.19388,                 1.3026,                  1.233,                 1.1041,               0.009703,               0.009703,               0.009703
                      5,                  1.363,                 1.1669,                 1.1288,                0.47216,                0.39498,                0.37188,                0.22306,                 1.2602,                 1.0278,                 1.0738,               0.009604,               0.009604,               0.009604
                      6,                 1.3234,                 1.0889,                 1.1199,                0.61337,                0.37305,                0.41405,                0.24756,                 1.2531,                0.96547,                  1.076,               0.009505,               0.009505,               0.009505
                      7,                 1.3022,                 1.0405,                 1.1104,                0.61227,                0.38265,                0.43383,                0.26757,                 1.2381,                0.96304,                 1.0713,               0.009406,               0.009406,               0.009406
                      8,                 1.2792,                 1.0028,                 1.1023,                0.56653,                0.44495,                0.48027,                0.29047,                 1.2022,                0.88845,                 1.0512,               0.009307,               0.009307,               0.009307
                      9,                 1.2707,                0.97863,                 1.0956,                0.61003,                  0.448,                0.48089,                0.29077,                 1.1836,                0.88047,                 1.0447,               0.009208,               0.009208,               0.009208
                     10,                 1.2423,                 0.9449,                 1.0875,                0.58012,                0.47069,                0.50689,                0.30725,                 1.1774,                0.86223,                 1.0475,               0.009109,               0.009109,               0.009109
